idx	file	lang	prob	ja	en
037	minatostorm_037_t01m23_7s.mp3	ja	1.00	いろいろなものが託されているのだから	Because there are so many things in the world.
038	minatostorm_038_t01m26_6s.mp3	ja	1.00	大丈夫かい?	Are you okay?
039	minatostorm_039_t01m27_2s.mp3	ja	1.00	くしな!	Darn it!
040	minatostorm_040_t01m28_4s.mp3	ja	1.00	帰ったらすぐに治療しよう	Once you're back, let's finish it right away!
041	minatostorm_041_t01m30_2s.mp3	ja	1.00	ナルトの背にはたくさんの思いがある	I have a lot of feelings for NARUTO.
042	minatostorm_042_t01m33_4s.mp3	ja	1.00	でも、帯と	But Obito...
043	minatostorm_043_t01m35_1s.mp3	ja	0.97		For the sake of you right now...
044	minatostorm_044_t01m36_8s.mp3	ja	0.97		What is there?
045	minatostorm_045_t01m38_1s.mp3	ja	0.98		No matter what happens to this meat.
046	minatostorm_046_t01m40_1s.mp3	ja	0.98		There's a fight I can't hold back.
047	minatostorm_047_t01m41_4s.mp3	ja	0.99		I won't lose.
048	minatostorm_048_t01m43_6s.mp3	ja	1.00		As long as there is an important thing.
049	minatostorm_049_t01m45_5s.mp3	ja	0.93		I won't say it.
050	minatostorm_050_t01m47_2s.mp3	ja	0.93		This is for me too!
051	minatostorm_051_t01m48_7s.mp3	ja	0.99		Because there are so many things in the world.
052	minatostorm_052_t01m50_8s.mp3	ja	0.98		I'll risk my life for you.
053	minatostorm_053_t01m52_4s.mp3	ja	0.98		I have something to protect you Will you follow me at my speed? I won't lose
054	minatostorm_054_t01m58_3s.mp3	ja	0.99		As long as there is an important thing.
055	minatostorm_055_t01m59_9s.mp3	ja	0.99		You will be able to find the answer.
056	minatostorm_056_t02m02_6s.mp3	ja	0.65		Bye-bye, Shinai.
057	minatostorm_057_t02m04_2s.mp3	ja	0.93		This is for me too!
058	minatostorm_058_t02m05_7s.mp3	ja	0.99		Because there are so many things hidden.
059	minatostorm_059_t02m07_9s.mp3	ja	0.96		I'll risk my life.
060	minatostorm_060_t02m09_7s.mp3	ja	0.99		There is something I should protect It's an enemy
061	minatostorm_061_t02m12_2s.mp3	ja	0.98		You said you liked it! I can't lose.
062	minatostorm_062_t02m15_6s.mp3	ja	0.97		The one who stands in the shadows...
063	minatostorm_063_t02m17_2s.mp3	ja	0.98		I have a lot of things to take care of, too.
064	minatostorm_064_t02m19_7s.mp3	ja	0.95		I won't do it
065	minatostorm_065_t02m20_5s.mp3	ja	0.95		I'll risk my life.
066	minatostorm_066_t02m22_1s.mp3	ja	0.93		I will protect this leaf.
067	minatostorm_067_t02m23_4s.mp3	ja	0.97		That is the fate of Hokage!
068	minatostorm_068_t02m33_9s.mp3	ja	0.98		Sorry.
069	minatostorm_069_t02m34_6s.mp3	ja	0.92		KUSHINA! TAKASHI!
070	minatostorm_070_t02m36_3s.mp3	en	0.39		
071	minatostorm_071_t02m37_4s.mp3	ja	0.98		Combine me and Kobushi.
072	minatostorm_072_t02m39_7s.mp3	ja	0.97		What did you see? Not only your mouth!
073	minatostorm_073_t02m42_8s.mp3	ja	0.97		Keep your heart strong!
074	minatostorm_074_t02m44_9s.mp3	ja	1.00		You should be stronger! KAKASHI!
075	minatostorm_075_t02m47_0s.mp3	ja	0.82		I saw it!
076	minatostorm_076_t02m48_2s.mp3	ko	0.64		This is a good combination.
077	minatostorm_077_t02m49_6s.mp3	ja	0.99		In front of your family.
078	minatostorm_078_t03m03_9s.mp3	ja	0.95		To me too!
079	minatostorm_079_t03m05_4s.mp3	ja	0.99		There are things that can't be forgiven.
080	minatostorm_080_t03m08_2s.mp3	ja	1.00		This is the final blow, Sato!
081	minatostorm_081_t03m11_5s.mp3	ja	0.97		How do you feel about everyone?
082	minatostorm_082_t03m13_8s.mp3	ja	0.99		I won't let the third-generation master take it. I have the will to teach the teacher.
083	minatostorm_083_t03m18_0s.mp3	ja	0.73		That's why.
084	minatostorm_084_t03m19_1s.mp3	ja	1.00		I've gotten so much stronger. I'm so happy to grow as a singer.
085	minatostorm_085_t03m22_7s.mp3	ja	0.98		I'm serious.
086	minatostorm_086_t03m24_2s.mp3	ja	0.98		What my father did was...
087	minatostorm_087_t03m25_8s.mp3	ja	1.00		If I had lived what I want to continue to do with my son's goal...
088	minatostorm_088_t03m29_9s.mp3	ja	0.99		I wanted you to be my shadow. Hmph!
089	minatostorm_089_t03m32_5s.mp3	ja	0.97		This is it!
090	minatostorm_090_t03m40_9s.mp3	ja	0.99		If you don't have any friends...
091	minatostorm_091_t03m42_6s.mp3	ja	0.99		I can't do anything about it!
092	minatostorm_092_t03m45_7s.mp3	ja	0.99		You will be able to find the answer.
093	minatostorm_093_t03m48_8s.mp3	ja	0.99		Don't overdo it! Why?
094	minatostorm_094_t03m51_8s.mp3	ja	1.00		I feel like I'm fighting with Kushina.
095	minatostorm_095_t03m54_1s.mp3	ja	0.99		Kyubi is no longer yours.
096	minatostorm_096_t03m56_5s.mp3	ja	0.99		He has the power to make dreams come true!
097	minatostorm_097_t03m59_1s.mp3	ja	0.89		So that's it.
098	minatostorm_098_t04m00_0s.mp3	ja	0.99		I have the power to control Kyubi.
099	minatostorm_099_t04m03_0s.mp3	ja	1.00		And the shinobi that can be used on this leaf.
100	minatostorm_100_t04m05_5s.mp3	ja	0.99		And the person who fits into it...
101	minatostorm_101_t04m07_8s.mp3	ja	0.99		As far as I know...
102	minatostorm_102_t04m09_6s.mp3	ja	0.99		There's only one person left.
103	minatostorm_103_t04m10_6s.mp3	ja	0.93		I can't believe it.
104	minatostorm_104_t04m12_1s.mp3	ja	0.98		Are you Uchiha Madara?
105	minatostorm_105_t04m14_3s.mp3	ja	0.98		What do you mean?
106	minatostorm_106_t04m15_3s.mp3	ja	0.98		Why are you aiming for this leaf?
107	minatostorm_107_t04m18_2s.mp3	ja	0.98		What you wanted to be was...
108	minatostorm_108_t04m19_7s.mp3	ja	0.96		It's supposed to be a fire! Yeah!
109	minatostorm_109_t04m21_0s.mp3	ja	0.97		Before it disappears
110	minatostorm_110_t04m22_6s.mp3	ja	0.93		I have to tell you
111	minatostorm_111_t04m23_8s.mp3	ja	0.89		That's what I thought.
112	minatostorm_112_t04m24_7s.mp3	ja	0.97		Congratulations on your birthday!
113	minatostorm_113_t04m25_8s.mp3	ja	0.90		I got it.
114	minatostorm_114_t04m26_4s.mp3	ja	0.93		All of them.
115	minatostorm_115_t04m27_9s.mp3	ja	0.99		I'm going to tell you all about my unreachable feelings.
116	minatostorm_116_t04m30_8s.mp3	ja	0.99		There's no way! For the sake of the future!
117	minatostorm_117_t04m34_5s.mp3	ja	0.99		If it's you...
118	minatostorm_118_t04m36_4s.mp3	ja	0.99		I was sure that my son would be able to do it.
119	minatostorm_119_t04m38_9s.mp3	ja	0.99		I saw it from inside you.
120	minatostorm_120_t04m41_4s.mp3	ja	0.96		And...
121	minatostorm_121_t04m42_9s.mp3	ja	0.99		I know about you, Jiraiya-sensei.
122	minatostorm_122_t04m44_8s.mp3	ja	0.98		From where there's nothing.
123	minatostorm_123_t04m46_6s.mp3	ja	0.98		The hatred will not be born. The fight will be born trying to save the precious things.
124	minatostorm_124_t04m51_8s.mp3	ja	0.99		And
125	minatostorm_125_t04m53_1s.mp3	ja	0.98		By losing that...
126	minatostorm_126_t04m55_0s.mp3	ja	0.96		I will be captured by hatred.
127	minatostorm_127_t04m56_4s.mp3	ja	0.97		I don't understand that.
128	minatostorm_128_t04m58_6s.mp3	ja	0.70		But...
129	minatostorm_129_t05m00_1s.mp3	ja	0.99		There shouldn't be any reason for you to hate me.
130	minatostorm_130_t05m02_2s.mp3	ja	0.99		In the end,
131	minatostorm_131_t05m03_9s.mp3	ja	0.98		The people of Shinobi are fighting against that hatred.
132	minatostorm_132_t05m07_6s.mp3	ja	0.96		I wish you all the best.
133	minatostorm_133_t05m09_1s.mp3	ja	0.96		I'm fighting against Niximi.
134	minatostorm_134_t05m10_6s.mp3	ja	0.97		What about you, Jiraiya-sensei?
135	minatostorm_135_t05m12_4s.mp3	ja	0.99		The answer to end this hatred
136	minatostorm_136_t05m15_1s.mp3	ja	0.98		I've entrusted it to you.
137	minatostorm_137_t05m16_4s.mp3	ja	0.98		The answer is to find it yourself.
138	minatostorm_138_t05m19_6s.mp3	ja	0.98		What's your answer?
139	minatostorm_139_t05m21_1s.mp3	ja	0.99		I don't know either.
140	minatostorm_140_t05m23_9s.mp3	ja	0.97		I believe in you.
141	minatostorm_141_t05m25_1s.mp3	ja	0.92		Well then.
142	minatostorm_142_t05m26_9s.mp3	ja	0.97		It's time for me to go too.
143	minatostorm_143_t05m29_9s.mp3	ja	0.98		Chakra is falling apart.
144	minatostorm_144_t05m31_4s.mp3	ja	0.99		Reboot the seal.
145	minatostorm_145_t05m35_1s.mp3	ja	0.99		This is the end.
146	minatostorm_146_t05m36_1s.mp3	ja	0.98		No matter what time it is...
147	minatostorm_147_t05m37_6s.mp3	ja	0.99		I'm your ally. Do your best.
148	minatostorm_148_t05m40_3s.mp3	ja	1.00		NARUTO, you can't just give up like this.
149	minatostorm_149_t05m44_3s.mp3	ja	0.97		Are you still my son?
150	minatostorm_150_t05m46_1s.mp3	ja	0.99		If the seal is released as soon as the 8th one is released
151	minatostorm_151_t05m49_6s.mp3	ja	0.99		I've re-opened the seal art so that it comes out of your mind.
152	minatostorm_152_t05m53_8s.mp3	ja	0.97		As much as possible.
153	minatostorm_153_t05m54_6s.mp3	ja	0.99		I didn't want it to be like that.
154	minatostorm_154_t05m58_0s.mp3	ja	0.99		I'm looking forward to seeing my grown-up son.
155	minatostorm_155_t06m01_7s.mp3	ja	0.98		Where's even?
156	minatostorm_156_t06m02_9s.mp3	ja	0.97		I'm going to close the door for you.
157	minatostorm_157_t06m05_3s.mp3	ja	0.99		It seems like it was a lot of trouble.
158	minatostorm_158_t06m07_8s.mp3	ja	0.99		I'm sorry. The one who sealed you with Kyubi's chakra was...
159	minatostorm_159_t06m11_7s.mp3	ja	0.98		I believed that I would use that power.
160	minatostorm_160_t06m14_5s.mp3	ja	0.99		When you hit a huge enemy
161	minatostorm_161_t06m17_1s.mp3	ja	0.99		I will become the power that will help you.
162	minatostorm_162_t06m19_5s.mp3	ja	0.96		This blade will attack you.
163	minatostorm_163_t06m21_5s.mp3	ja	0.99		The worst enemy will be the power to defeat them.
164	minatostorm_164_t06m25_1s.mp3	ja	0.98		That's because I believed in you.
165	minatostorm_165_t06m26_6s.mp3	en	0.39		
166	minatostorm_166_t06m27_8s.mp3	ja	0.91		I was standing
167	minatostorm_167_t06m28_8s.mp3	ja	0.96		Who the hell are you?
168	minatostorm_168_t06m30_6s.mp3	ja	0.99		Why are you aiming for this leaf?
