idx	file	dur	tag	ja	en
032	zaraki_line_033.mp3	1.54	clean_single	ザラキけんぱちだ	Zanaki Kempachi!
033	zaraki_line_034.mp3	2.24	clean_single	デメイと殺し合いに来た	I came here to kill you.
034	zaraki_line_035.mp3	1.12	clean_single	楽しめよう!	Have fun!
035	zaraki_line_036.mp3	1.50	clean_single	久しぶりだぜ!	Long time no see!
036	zaraki_line_037.mp3	2.90	clean_single	冷圧で刃が尖れてくみたいな	It's like a wildfire is burning in the air!
037	zaraki_line_038.mp3	5.33	merged_multi	こういう感覚はよ! もう、ぶっ飛ばす! ビビってんじゃねえよ!	I don't like this kind of feeling! No! Good bus! Don't make a sound!
038	zaraki_line_039.mp3	6.53	merged_multi	はっはっはっはっはっはー! んっ!まだまだー! まだまだー!	HAHAHAHAHA! Not yet! Not yet!
039	zaraki_line_040.mp3	3.94	merged_multi	鈴の音が聞こえたか!? 知らせろ! グゥゥゥゥ!!	Did you hear Suzunone? Let me hear it! Nyuuh!
040	zaraki_line_041.mp3	2.30	clean_single	剣道なんてしょうに合わねえし	I'm not good enough for Kendo.
041	zaraki_line_042.mp3	5.38	merged_multi	すかした名前で気に食わねえが もう はっ はっはっはっはっはっはっはっ	I don't want to hear your name. I'm... Ha! Ha ha ha ha ha ha ha ha!
042	zaraki_line_043.mp3	9.58	merged_multi	人振り蓋振りで死ぬんじゃねえぞ みっともねえ はっはっはっはっはー おい お前になら 笑い話にもなんねえな	I'm not going to die in one or two turns. Not even three times. Hahahaha! Hey, if it's for you, why are you laughing at me?
043	zaraki_line_044.mp3	2.36	clean_single	おいてろ!しょうがねぇ!	Leave it to me. I can't help it.
044	zaraki_line_045.mp3	10.52	merged_multi	すっ込んでろ! 返させてくれ! 死ぬんじゃねぇぞ! ラメテルと殺すぜ! こんな程度で砕ばるなよ! 能力が上がってやがる!	Get out of my way! Let me go! I'm not going to die! If you look at me, I'm going to kill you! Don't mess with me at this rate! I'm going to raise my spiritual power!
045	zaraki_line_046.mp3	9.00	merged_multi	こうでなきゃいけねぇ! もっと楽しもうぜ! 人だ!くだらねぇ! てめえとは一辺やりあってみたかったんだ!	If you don't do it like this, I'll have more fun! I'm a human! You're so stupid! I wanted to do it with you all my life!
046	zaraki_line_047.mp3	1.66	clean_single	そうチューナよ	Don't mess with me!
047	zaraki_line_048.mp3	1.53	clean_single	楽しくやろうぜ!	Let's have fun!
048	zaraki_line_049.mp3	3.64	long_single(verify)	いい方ならしになったぜ、ケンパチ	That's a good one, Kenpachi.
049	zaraki_line_050.mp3	4.05	merged_multi	ザラキのキンパチだ!これで終わりじゃねえぞ!	This is the end of the Zanaki Kinpachi!
050	zaraki_line_051.mp3	1.11	grunt(non-verbal)		
051	zaraki_line_052.mp3	3.15	clean_single	戦えなくなった奴に興味はねぇんだ	I'm not interested in those who can't fight.
052	zaraki_line_053.mp3	0.53	noise_or_partial		
053	zaraki_line_054.mp3	6.04	merged_multi	こっからが、楽しいとこだぜ、いいぜ、耐えろよ、楽しかったぜ	This is the fun part! That's great! Hang in there! It was fun!
054	zaraki_line_055.mp3	1.67	clean_single	楽しくなってきたな!	It's getting fun!
055	zaraki_line_056.mp3	1.87	clean_single	敗屈させるなよ	Don't let me get away from you!
056	zaraki_line_057.mp3	3.04	clean_single	俺を楽しませてくれ、邪魔だ!	Let me have fun! I'm in the way!
057	zaraki_line_058.mp3	3.47	clean_single	お前のおかげでいい退屈しのぎになったぜ	Thanks to you, I became a good bodybuilder.
058	zaraki_line_059.mp3	1.10	clean_single	ありがとうよ	Thank you.
059	zaraki_line_060.mp3	2.43	clean_single	おかげでいい方ならしになったぜ	Thanks to you, I've become a good fighter.
060	zaraki_line_061.mp3	10.91	merged_multi	手抜くなよ! くぬけが! もっとだ俺! もっと 楽しもうぜ! 両手で振った方が強いんだとよ!	Don't move your hand! I'm going to beat you up even more! Let's have more fun! It's better to hit it with both hands!
061	zaraki_line_062.mp3	1.29	clean_single	やってみるか!	Let's do it!
062	zaraki_line_063.mp3	3.73	merged_multi	けんどってのよ! バカヌ! まだまだ!	You're a pervert! Idiot! Not yet!
063	zaraki_line_064.mp3	3.78	long_single(verify)	弱い奴にとどめを刺すのは勝に合わねんだ	It doesn't suit me to put an end to a weak guy.
064	zaraki_line_065.mp3	1.71	clean_single	全力で戦っても	Even if you fight with all your might!
065	zaraki_line_066.mp3	1.43	clean_single	もっとよく狙え!	Be even better!
066	zaraki_line_067.mp3	4.84	merged_multi	はっ、カッチュー! 余裕な! 陰にしそこねたじゃねぇか	Ha! Kachuu! You're so weak! I thought you were out of your mind.
067	zaraki_line_068.mp3	2.45	clean_single	俺を切れねえのがそんなに不思議か	Is it so strange that you can't cut me?
068	zaraki_line_069.mp3	5.44	merged_multi	最高だ! ふっ、こいつを使うのは気のりしねぇが	It's the best! Heh, I don't want to use this.
069	zaraki_line_070.mp3	3.14	clean_single	生きて俺をもう一度殺しに来い!	Live and kill me one more time!
070	zaraki_line_071.mp3	4.65	long_single(verify)	いつまでそっちを見てやがる? 今までこいつに壊せてた文を	How long will you keep looking at me? I've been looking at you for a long time.
071	zaraki_line_072.mp3	1.21	clean_single	楽しみよ!	Look forward to it!
072	zaraki_line_073.mp3	6.29	merged_multi	死も苦痛も! オラオラ!もう一応だ! 喉だ! ふぬけはしねえ!	I'll kill you too! Come on, come on! One more time! I'm begging you! I won't let you go!
073	zaraki_line_074.mp3	1.07	clean_single	悪くない	It's not bad.
074	zaraki_line_075.mp3	0.83	clean_single	どうした?	What's wrong?
075	zaraki_line_076.mp3	8.56	merged_multi	はじめちまっていいのか? 来いよ! こっちだ! 長引かせていこうぜ! おい! うせろ! 死んだな、バケティ!	Are you ready to start? Come here! This way! Let's make it flow! Shut up! You idiot!
076	zaraki_line_077.mp3	0.40	clean_single	チッ!	Tch!
077	zaraki_line_078.mp3	2.62	clean_single	もっと楽しみたかったのによ	I wanted to enjoy it more.
078	zaraki_line_079.mp3	1.71	clean_single	星負ける?	Do you want to lose?
079	zaraki_line_080.mp3	2.55	clean_single	所詮は暇つぶしなんだよ	The beginning is a time-lapse.
080	zaraki_line_081.mp3	4.69	merged_multi	ふっ、殺し合いだ! ぐっ! ふわぁあ!! 立てよ	I'll kill you! Stand up!
081	zaraki_line_082.mp3	1.97	clean_single	まだ死んじゃいねーだろ	You're not dead yet, are you?
082	zaraki_line_083.mp3	2.81	clean_single	うっ!すまんね、戦いだったぜ	I'm sorry, it was a fight.
083	zaraki_line_084.mp3	1.01	clean_single	知ってるか!	Do you know?
084	zaraki_line_085.mp3	9.53	merged_multi	いいじゃねーか! 切らせてやるよ! 小器を見つけたくらいで緩めんな! くそが… もう一度殺しに来い! これでしまいか…	That's enough! I'll let you go. Don't forgive me until I find the weapon! Damn it! Kill me one more time! Is this the end?
085	zaraki_line_086.mp3	14.60	merged_multi	久しぶりに抑える必要 は無いな はぁ algebra アアー will be 集中しろよ そんなに遠いと戦え ねぇだろう 作ば 切りつけてごい 俺はどうした current なんだよ	It's been a while since I've had a chance to hold you back! Ha! Look! Aaaaaaah! Focus! You can't fight so far away! Hey! Cut it out! Hey, what's wrong with you? What is it?
086	zaraki_line_087.mp3	1.32	clean_single	もうしまいか?	Are you done?
087	zaraki_line_088.mp3	2.27	clean_single	まだ始まったばかりじゃねぇか	It's just started, isn't it?
088	zaraki_line_089.mp3	1.60	clean_single	タイトウの戦い!	The battle of the tyrant!
089	zaraki_line_090.mp3	1.39	clean_single	いや、わずかに!	No, not at all!
090	zaraki_line_091.mp3	0.50	clean_single	だが!	DANGER!
091	zaraki_line_092.mp3	2.11	clean_single	確実にお前が上だ!	I'm sure you're up there!
092	zaraki_line_093.mp3	2.38	clean_single	もう一度殺しにかい!	I'll kill you one more time!
093	zaraki_line_094.mp3	3.45	clean_single	剣は両手で振ったほうが強いんだとよ	The sword is stronger if you use both hands!
094	zaraki_line_095.mp3	3.22	clean_single	俺はまだ死んでねえぞ!	I'm not dead yet!
095	zaraki_line_096.mp3	8.12	merged_multi	楽しくなってきやがったぜ! やるよできるじゃねーか! ふっはっはー! ぶったぎゅう! さぁ	I'm having so much fun! I can do it! Ha ha ha! I'll beat you up! Now...
096	zaraki_line_097.mp3	2.78	clean_single	始めようぜ! 誰事だ!	Let's get started. Who are you?
097	zaraki_line_098.mp3	1.94	clean_single	まだ緩めるなよ!がぁ!	Don't give up yet, Gah!
098	zaraki_line_099.mp3	2.08	clean_single	いいぞ! いい反応だ!	That's good! That's a good reaction!
099	zaraki_line_100.mp3	1.98	clean_single	もう一回散り合うぜ	Let's do it again!
100	zaraki_line_101.mp3	2.35	clean_single	すまんね、幕引きだぜ	I'm sorry, it's a waste of time.
101	zaraki_line_102.mp3	4.58	merged_multi	遠慮なく行くぜ! 面白い! あまり逃げんなよ!	Let's go without delay! It's fun! Don't run away too much!
